"name","venue","venue_address","date","time","venue_city","event_url","description","picture","price"
"Ask an Expert ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/24/2018","None","Chandler","http://business.chandlerchamber.com/events/details/ask-an-expert-20512","None","None","-1"
"Ribbon Cutting for American InterContinental University","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/24/2018","None","Chandler","http://business.chandlerchamber.com/events/details/ribbon-cutting-for-american-intercontinental-university-20953","None","None","-1"
" Wednesday Morning Leads Group Chandler Chamber","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/25/2018","None","Chandler","http://business.chandlerchamber.com/events/details/wednesday-morning-leads-group-chandler-chamber-04-25-2018-9877","None","None","-1"
"Economic Update Series Luncheon ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/25/2018","None","Chandler","http://business.chandlerchamber.com/events/details/economic-update-series-luncheon-20513","None","None","-1"
"Wednesday Lunch Leads Group","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/25/2018","None","Chandler","http://business.chandlerchamber.com/events/details/wednesday-lunch-leads-group-04-25-2018-16270","None","None","-1"
" Wednesday-Ocotillo Lunch Leads Group Chandler Chamber ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/25/2018","None","Chandler","http://business.chandlerchamber.com/events/details/wednesday-ocotillo-lunch-leads-group-chandler-chamber-04-25-2018-19865","None","None","-1"
"Board of Directors Monthly Meeting","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/25/2018","None","Chandler","http://business.chandlerchamber.com/events/details/board-of-directors-monthly-meeting-04-25-2018-13347","None","None","-1"
"Ribbon Cutting for Lenny's Burger","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/25/2018","None","Chandler","http://business.chandlerchamber.com/events/details/ribbon-cutting-for-lenny-s-burger-33612","None","None","-1"
"Chamber 101","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/26/2018","None","Chandler","http://business.chandlerchamber.com/events/details/chamber-101-04-26-2018-1790","None","None","-1"
" Thursday Morning Leads Group Chandler Chamber","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/26/2018","None","Chandler","http://business.chandlerchamber.com/events/details/thursday-morning-leads-group-chandler-chamber-04-26-2018-20300","None","None","-1"
"A Cup of Joey","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/26/2018","None","Chandler","http://business.chandlerchamber.com/events/details/a-cup-of-joey-04-26-2018-20720","None","None","-1"
"Thursday Lunch Leads Group Chandler Chamber ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/26/2018","None","Chandler","http://business.chandlerchamber.com/events/details/thursday-lunch-leads-group-chandler-chamber-04-26-2018-10076","None","None","-1"
"Chandler Farmers Market","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/26/2018","None","Chandler","http://business.chandlerchamber.com/events/details/chandler-farmers-market-33611","None","None","-1"
"Ribbon Cutting - 7th Annual Ultimate Event @ FORM Prosperity","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/26/2018","None","Chandler","http://business.chandlerchamber.com/events/details/ribbon-cutting-7th-annual-ultimate-event-form-prosperity-20949","None","None","-1"
"Friday Morning Leads Group","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/27/2018","None","Chandler","http://business.chandlerchamber.com/events/details/friday-morning-leads-group-04-27-2018-14616","None","None","-1"
"Public Policy Series","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/27/2018","None","Chandler","http://business.chandlerchamber.com/events/details/public-policy-series-04-27-2018-12375","None","None","-1"
"Ribbon Cutting at Gravity Extreme Zone","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/27/2018","None","Chandler","http://business.chandlerchamber.com/events/details/ribbon-cutting-at-gravity-extreme-zone-32602","None","None","-1"
"Brunch with Bridgett","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/28/2018","None","Chandler","http://business.chandlerchamber.com/events/details/brunch-with-bridgett-32601","None","None","-1"
"Field of Hope CAP Fundraiser","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/28/2018","None","Chandler","http://business.chandlerchamber.com/events/details/field-of-hope-cap-fundraiser-32581","None","None","-1"
"Monday Morning Leads Group","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/30/2018","None","Chandler","http://business.chandlerchamber.com/events/details/monday-morning-leads-group-04-30-2018-15846","None","None","-1"
"Chamber Connections","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","04/13/2018","11:30-13:00","Gilbert","http://business.gilbertaz.com/events/details/chamber-connections-3911","business-to-business,B2B,networking,businessconnections,Gilbertnetworking,Gilbertreferrals,meet-up  ","None","-1"
"RIBBON CUTTING - Firehouse Subs","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","04/18/2018","10:15-11:00","Gilbert","http://business.gilbertaz.com/events/details/ribbon-cutting-firehouse-subs-3994","RibbonCutting  ","None","-1"
"RIBBON CUTTING - Anytime Fitness","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","04/19/2018","09:30-10:15","Gilbert","http://business.gilbertaz.com/events/details/ribbon-cutting-anytime-fitness-5009","RibbonCutting  ","None","-1"
"RIBBON CUTTING - Age Less Wellness & Aesthetics Clinic","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","04/24/2018","12:00-12:45","Gilbert","http://business.gilbertaz.com/events/details/ribbon-cutting-age-less-wellness-aesthetics-clinic-4000","RibbonCutting  ","None","-1"
"Public Policy Speakers' Series - Jennings Imel of the U.S. Chamber of Commerce","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","04/25/2018","16:00-17:00","Gilbert","http://business.gilbertaz.com/events/details/public-policy-speakers-series-jennings-imel-of-the-u-s-chamber-of-commerce-3883"," ","None","-1"
"RIBBON CUTTING - ServPro of Gilbert","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/01/2018","12:00-12:45","Gilbert","http://business.gilbertaz.com/events/details/ribbon-cutting-servpro-of-gilbert-5007","RibbonCutting  ","None","-1"
"RIBBON CUTTING - 10 Year Anniversary Celebration","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/01/2018","15:30-16:30","Gilbert","http://business.gilbertaz.com/events/details/ribbon-cutting-10-year-anniversary-celebration-5011","RibbonCutting  ","None","-1"
"A GEM Talk presented by the Small Business Council","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/03/2018","16:00-17:30","Gilbert","http://business.gilbertaz.com/events/details/a-gem-talk-presented-by-the-small-business-council-3912"," ","None","-1"
"LEADERCAST LIVE 2018","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/04/2018","07:00-15:30","Gilbert","http://business.gilbertaz.com/events/details/leadercast-live-2018-3913","Leadercast,GilbertLeadership  ","None","-1"
"RIBBON CUTTING - Gilbert Leadership Class Project ""Exchange Zones""","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/05/2018","09:00-10:00","Gilbert","http://business.gilbertaz.com/events/details/ribbon-cutting-gilbert-leadership-class-project-exchange-zones-5010","RibbonCutting  ","None","-1"
"2018 Candidate Forum - Gilbert Town Council","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/08/2018","11:00-13:00","Gilbert","http://business.gilbertaz.com/events/details/2018-candidate-forum-gilbert-town-council-5012"," ","None","-1"
"RIBBON CUTTING - Val Vista Academy","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/08/2018","16:45-17:30","Gilbert","http://business.gilbertaz.com/events/details/ribbon-cutting-val-vista-academy-4999","RibbonCutting  ","None","-1"
"Gilbert Leadership Informational Breakfast","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/09/2018","07:00-08:30","Gilbert","http://business.gilbertaz.com/events/details/gilbert-leadership-informational-breakfast-3914"," ","None","-1"
"RIBBON CUTTING - Town Commons Luxury Apartments","Gilbert Chamber of Commerce","119 North Gilbert Road Ste. 101","05/10/2018","14:45-15:30","Gilbert","http://business.gilbertaz.com/events/details/ribbon-cutting-town-commons-luxury-apartments-5006","RibbonCutting  ","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/13/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/13/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Mesa Morning Live- Sponsored by University of Phoenix","Mesa Chamber of Commerce","165 N. Centennial Way","4/13/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-morning-live-sponsored-by-university-of-phoenix-11561","None","None","-1"
" Ribbon Cutting - Walmart - Signal Butte  (Ribbon cut at 8:00 am)","Mesa Chamber of Commerce","165 N. Centennial Way","4/13/2018","None","Mesa","http://www.mesachamber.org/events/details/ribbon-cutting-walmart-signal-butte-ribbon-cut-at-8-00-am-14452","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/14/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/14/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Live Music & Dinner at the Windmill Tasting Room","Mesa Chamber of Commerce","165 N. Centennial Way","4/14/2018","None","Mesa","http://www.mesachamber.org/events/details/live-music-dinner-at-the-windmill-tasting-room-04-14-2018-12305","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/15/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/15/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/16/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/16/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Mesa Monday Munchies","Mesa Chamber of Commerce","165 N. Centennial Way","4/16/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-monday-munchies-04-16-2018-12089","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/17/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/17/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Mesa Chamber Business Referral Group- Falcon Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/17/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-falcon-region-04-17-2018-3651","None","None","-1"
"Mesa Chamber Business Referral Group- Gateway Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/17/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-gateway-region-04-17-2018-3043","None","None","-1"
"Taste of Mesa - Deferred due to Awards Dinner","Mesa Chamber of Commerce","165 N. Centennial Way","4/17/2018","None","Mesa","http://www.mesachamber.org/events/details/taste-of-mesa-deferred-due-to-awards-dinner-13252","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/18/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/18/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"WOW - The Word on Wednesday","Mesa Chamber of Commerce","165 N. Centennial Way","4/18/2018","None","Mesa","http://www.mesachamber.org/events/details/wow-the-word-on-wednesday-04-18-2018-11668","None","None","-1"
"Mesa Chamber Business Referral Group- Superstition Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/18/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-superstition-region-04-18-2018-4015","None","None","-1"
"Mesa Chamber Business Referral Groupp- Fiesta Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/18/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-fiesta-region-04-18-2018-4433","None","None","-1"
" Ribbon Cutting - Richmond American Homes - Estates @ Eastmark; Rocco Model  (Ribbon cut at 3:30 pm)","Mesa Chamber of Commerce","165 N. Centennial Way","4/18/2018","None","Mesa","http://www.mesachamber.org/events/details/ribbon-cutting-richmond-american-homes-estates-eastmark-rocco-model-ribbon-cut-at-3-30-pm-14453","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Mesa Chamber Business Referral Group- Downtown Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-downtown-region-04-19-2018-3247","None","None","-1"
"Mesa Chamber Business Referral Group- Riverview Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-riverview-region-04-19-2018-5014","None","None","-1"
"Mesa Chamber Member Orientation","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-member-orientation-04-19-2018-11641","None","None","-1"
"Mesa Chamber Annual Leadership Awards Dinner 2018 - REGISTRATION CLOSED","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-annual-leadership-awards-dinner-2018-registration-closed-12278","None","None","-1"
"Live Music & Dinner at the Windmill Tasting Room","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/live-music-dinner-at-the-windmill-tasting-room-04-19-2018-12306","None","None","-1"
"Virtual Master Mind Group","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/virtual-master-mind-group-04-19-2018-11625","None","None","-1"
"Charity Rock n Roll Concert to Benefit Veterans","Mesa Chamber of Commerce","165 N. Centennial Way","4/19/2018","None","Mesa","http://www.mesachamber.org/events/details/charity-rock-n-roll-concert-to-benefit-veterans-13231","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/20/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/20/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Mesa Chamber Government Affairs Council","Mesa Chamber of Commerce","165 N. Centennial Way","4/20/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-government-affairs-council-04-20-2018-3764","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/21/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/21/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Yoga and Mimosa's at What's Crackin Cafe","Mesa Chamber of Commerce","165 N. Centennial Way","4/21/2018","None","Mesa","http://www.mesachamber.org/events/details/yoga-and-mimosa-s-at-what-s-crackin-cafe-04-21-2018-12823","None","None","-1"
"Wheels and What's Crackin","Mesa Chamber of Commerce","165 N. Centennial Way","4/21/2018","None","Mesa","http://www.mesachamber.org/events/details/wheels-and-what-s-crackin-04-21-2018-13087","None","None","-1"
"Downtown Mesa Festival of the Arts","Mesa Chamber of Commerce","165 N. Centennial Way","4/21/2018","None","Mesa","http://www.mesachamber.org/events/details/downtown-mesa-festival-of-the-arts-04-21-2018-8849","None","None","-1"
"Live Music & Dinner at the Windmill Tasting Room","Mesa Chamber of Commerce","165 N. Centennial Way","4/21/2018","None","Mesa","http://www.mesachamber.org/events/details/live-music-dinner-at-the-windmill-tasting-room-04-21-2018-12307","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/22/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/22/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/23/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/23/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/24/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/24/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Mesa Chamber Business Referral Group- Falcon Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/24/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-falcon-region-04-24-2018-3652","None","None","-1"
"Java with Giles and Councilmember Freeman at Sheraton Mesa at Wrigleyville","Mesa Chamber of Commerce","165 N. Centennial Way","4/24/2018","None","Mesa","http://www.mesachamber.org/events/details/java-with-giles-and-councilmember-freeman-at-sheraton-mesa-at-wrigleyville-13245","None","None","-1"
"Women's Business Connection by the Mesa Chamber of Commerce","Mesa Chamber of Commerce","165 N. Centennial Way","4/24/2018","None","Mesa","http://www.mesachamber.org/events/details/women-s-business-connection-by-the-mesa-chamber-of-commerce-04-24-2018-11594","None","None","-1"
"Mesa Chamber Business Referral Group- Gateway Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/24/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-gateway-region-04-24-2018-3044","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/25/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/25/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"WOW - The Word on Wednesday","Mesa Chamber of Commerce","165 N. Centennial Way","4/25/2018","None","Mesa","http://www.mesachamber.org/events/details/wow-the-word-on-wednesday-04-25-2018-11669","None","None","-1"
"Mesa Chamber Business Referral Group- Superstition Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/25/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-superstition-region-04-25-2018-4016","None","None","-1"
"Mesa Chamber Business Referral Groupp- Fiesta Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/25/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-fiesta-region-04-25-2018-4434","None","None","-1"
"Lunch Mob - Boulders on Southern","Mesa Chamber of Commerce","165 N. Centennial Way","4/25/2018","None","Mesa","http://www.mesachamber.org/events/details/lunch-mob-boulders-on-southern-13247","None","None","-1"
"Ladies Night Craft","Mesa Chamber of Commerce","165 N. Centennial Way","4/25/2018","None","Mesa","http://www.mesachamber.org/events/details/ladies-night-craft-14473","None","None","-1"
"Food for Fines","Mesa Chamber of Commerce","165 N. Centennial Way","4/26/2018","None","Mesa","http://www.mesachamber.org/events/details/food-for-fines-14455","None","None","-1"
"Walmart ""Spark Change""","Mesa Chamber of Commerce","165 N. Centennial Way","4/26/2018","None","Mesa","http://www.mesachamber.org/events/details/walmart-spark-change-14456","None","None","-1"
"Mesa Chamber Business Referral Group- Downtown Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/26/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-downtown-region-04-26-2018-3248","None","None","-1"
"Mesa Chamber Business Referral Group- Riverview Region","Mesa Chamber of Commerce","165 N. Centennial Way","4/26/2018","None","Mesa","http://www.mesachamber.org/events/details/mesa-chamber-networking-group-riverview-region-04-26-2018-5015","None","None","-1"
